  ID,Schenk_Jackson_2002,Reference,location,Latitude,Longitude,Elevation,MaxDiameter,Measurement,Totmass,Sampdepth,Sampmax,Texture,Depth_org_horizon,Broadleaved_trees,Needleleaved_trees,Shrubs,Semi_shrubs,Grasses,Forbs,Succulents,Tree_phenology,Anthropogenic,Wetland,Vegetation,UMD_cover,PET,MAP,Rainfall_season,D50,D95,D50_extrapolated,D95_extrapolated
D36,NO,Klepper et al. 1985,"S Washington, USA",46.53,-119.52,-999,Total,mass,0.08,2.5,no,-999,0,0,0,1,0,0,1,0,-999,N,N,open shrubland,9,840,160,winter maximum,0.42,1.27,0.42,1.3
D37,NO,Pavón & Briones 2000,"Puebla, Mexico",18.33,-97.47,-999,Total,mass,0.97,1,no,medium,0,0,0,1,0,0,1,1,-999,N,N,open shrubland,9,1385,400,"tropical, seas",0.15,0.61,0.15,0.75
HE01,YES,Chapman 1970,"Dorset, England",50.72,-2.82,15,Total,mass,1.39,1.18,yes,coarse,-999,0,0,0,1,1,0,0,-999,N,N,Closed shrubland,8,627,800,"non-tropical,",0.05,0.21,0.05,0.22
HE02,YES,Damman 1971,"Newfoundland, Canada",48.45,-58.4,<50,10,mass,0.69,0.4,no,coarse,30,0,0,0,1,0,0,0,-999,N,N,Closed shrubland,8,500,1200,"non-tropical,",0.1,0.31,0.11,0.43
HE03a,YES,Groves & Specht 1965,SE Australia,-39,146.28,-999,Total,mass,3.57,1.52,no,coarse,0,0,0,0,1,0,1,0,-999,N,N,Closed shrubland,8,1412,1090,winter maximum,0.16,1.1,0.19,1.8
HE03b,YES,Groves & Specht 1965,SE Australia,-38.87,146.38,-999,Total,mass,1.39,0.61,no,coarse,0,0,0,0,1,0,1,0,-999,N,N,Closed shrubland,8,1412,1090,winter maximum,0.09,0.42,0.09,0.62
HE04,YES,Aerts 1993,The Netherlands,52.03,5.83,-999,Total,mass,1.79,1,yes,coarse,30,0,0,0,1,1,0,0,-999,N,N,Closed shrubland,8,746,800,"non-tropical,",0.07,0.6,0.08,0.88
HW01a,NO,Dumortier 1991,Belgium,51.1,3.67,-999,Total,mass,1.56,1,no,fine,10,0,0,0,0,1,0,0,-999,Y,Y,Pasture,10,604,790,"non-tropical,",0.04,0.3,0.04,0.33
HW01b,NO,Dumortier 1991,Belgium,51.1,3.67,-999,Total,mass,1.2,0.2,no,fine,10,0,0,0,0,1,0,0,-999,Y,Y,Pasture,10,604,790,"non-tropical,",0.03,0.17,0.06,0.34
HW02,NO,Saarinen 1995,S Finland,60.98,24.67,-999,Total,mass,2.15,2.3,no,organic,230,0,0,0,0,1,1,0,-999,N,Y,Grassland,10,535,619,summer maximum,0.1,0.32,0.1,0.32
HW03,NO,Sjörs 1991,Central Sweden,61.12,14.67,-999,Total,mass,4.9,0.42,no,organic,42,0,0,0,0,1,1,0,-999,N,Y,Grassland,10,502,688,summer maximum,0.17,0.37,0.19,0.6
HW04a,NO,Metsävainio 1931,Central Finland,64.02,64.1,-999,Total,mass,6.7,0.6,yes,organic,60,0,0,0,0,1,1,0,-999,N,Y,Grassland,10,531,487,summer maximum,0.1,0.41,0.1,0.57
HW04b,NO,Metsävainio 1931,Central Finland,64.02,64.1,-999,Total,mass,0.98,0.6,yes,organic,60,0,0,0,0,1,1,0,-999,N,Y,Grassland,10,531,487,summer maximum,0.09,0.33,0.09,0.37
HW04c,NO,Metsävainio 1931,Central Finland,64.02,64.1,-999,Total,mass,1.83,0.6,yes,organic,60,0,0,0,0,1,1,0,-999,N,Y,Grassland,10,531,487,summer maximum,0.19,0.51,0.21,0.79
