time,longitude,latitude,snr_[MJ/m2],tp_[mm],ro_[m],sm_[m3/m3],le_[W/m2]
2014-05-24,15.875,63.625,10.009434,5.6599097,3.813093e-05,0.394114,48.58533299907489
2014-05-25,15.875,63.625,1.5006115,24.91404,4.4565655e-05,0.41083273,49.389054377873734
2014-05-26,15.875,63.625,5.1901855,10.460041,4.0137707e-05,0.4231755,49.61660683706954
2014-05-27,15.875,63.625,12.05023,0.0,3.6581874e-05,0.41407824,49.84415929626535
2014-05-28,15.875,63.625,12.07569,0.0,3.632794e-05,0.40818256,50.07171175546116
2014-05-29,15.875,63.625,16.127748,0.0,3.599915e-05,0.4037438,50.29926421465697
2014-05-30,15.875,63.625,10.20837,3.7985048,3.6582955e-05,0.40224165,50.52681667385278
2014-05-31,15.875,63.625,7.588211,5.7861223,3.685659e-05,0.40352917,50.754369133048584
2014-06-01,15.875,63.625,16.213192,1.6653345e-13,3.5298755e-05,0.4011909,50.9819215922444
2014-06-02,15.875,63.625,16.50754,1.6653345e-13,3.5172136e-05,0.38918313,51.2094740514402
2014-06-03,15.875,63.625,16.886324,1.6653345e-13,3.443151e-05,0.38270974,50.840027354381704
2014-06-04,15.875,63.625,5.7365723,3.325793,3.497121e-05,0.3851148,50.4705806573232
2014-06-05,15.875,63.625,12.407029,2.5789735,3.461044e-05,0.3924776,50.1011339602647
2014-06-06,15.875,63.625,13.489872,0.16144127,3.3679255e-05,0.3839535,49.7316872632062
2014-06-07,15.875,63.625,12.287748,5.0318837,3.4108936e-05,0.3837399,49.3622405661477
2014-06-08,15.875,63.625,6.7078414,9.159445,3.5255176e-05,0.38939705,48.9927938690892
2014-06-09,15.875,63.625,9.568961,4.9889727,3.380089e-05,0.39717162,48.62334717203069
2014-06-10,15.875,63.625,9.13309,0.0887206,3.226607e-05,0.3885929,48.25390047497219
2014-06-11,15.875,63.625,7.8419037,10.230823,3.5187917e-05,0.39353487,48.64486141337289
2014-06-12,15.875,63.625,12.393841,0.5691027,3.186338e-05,0.39607424,49.035822351773575
